,showInProfile,allowDataAccess,showByline,showShareOptions,showTabs,showToolbar,showWatermark,warnDataAccess,id,ownerId,firstPublishDate,lastPublishDate,createdAt,lastUpdateDate,size,description,luid,permalink,revision,title,workbookRepoUrl,extractInfo,viewCount,defaultViewName,defaultViewRepoUrl,defaultViewLuid,authorProfileName,authorDisplayName,externalLink,numberOfFavorites,attributions,getDate
0,True,True,False,True,False,True,True,False,14895581,775932,1718366006079,1718367552959,1718366006086,1718367554885,4106637,PM2.5による影響と対策 | Japan #VizGames Final 2024,08a6cbc9-19ab-4b66-bfb7-3aef356535c6,,1.6,PM2.5による影響と対策 | Japan #VizGames Final 2024,PM2_5JapanVizGamesFinal2024,,1438,PM2.5 Story,PM2_5JapanVizGamesFinal2024/sheets/PM2_5Story,14cfaa6e-b6da-4d56-a251-613d96d766c7,yuta1985,Yuta Sakai,,52,[],2025/08/29 17:32:34
1,True,True,False,True,False,True,True,False,16824898,775932,1745419963420,1745420020573,1745419963425,1745420021266,36328,WoW2025week17:Can you switch measures?,eda83998-78e3-407a-b0aa-93dbb35d79f9,,1.1,WoW2025week17:Can you switch measures?,WoW2025week17Canyouswitchmeasures,,35,Dashboard,WoW2025week17Canyouswitchmeasures/sheets/Dashboard,99e6fe38-1bda-440a-928b-44e718e93e0e,yuta1985,Yuta Sakai,,0,[],2025/08/29 17:32:34
2,True,True,False,True,False,True,True,False,16791184,775932,1744955568128,1744981864835,1744955568133,1744981866577,22571,MOM2025week16: Pet Owner Ship Internationaly,21e155ee-8591-4d5f-a7e7-f371e8f57c6e,,1.3,MOM2025week16: Pet Owner Ship Internationaly,MOM2025week16PetOwnerShipInternationaly,,48,Dashboard,MOM2025week16PetOwnerShipInternationaly/sheets/Dashboard,3fdbde9c-959d-49b3-8ff6-1b6d62ac0e0b,yuta1985,Yuta Sakai,,1,[],2025/08/29 17:32:34
3,True,True,False,True,False,True,True,False,16786862,775932,1744905696302,1744955488501,1744905696308,1744955490208,428210,#WOW2025,5da5a450-f84d-4b25-a1e3-3e67e141c7f8,,1.2,WoW2025week16: Can you use COntainers and Dynamic Zone Visibility?,WOW2025Week16TC25,,48,ダッシュボード 1,WOW2025Week16TC25/sheets/1,ac4fe147-9cc6-46e6-a50e-6b984383e5e7,yuta1985,Yuta Sakai,,0,[],2025/08/29 17:32:34
4,True,False,False,True,True,True,True,False,16473815,775932,1741264248590,1741264248590,1741264248596,1741264249989,54787,secengsurvey,3dda9c06-eb98-4bb8-8d64-f39b4c2a5e29,,1.0,secengsurvey,secengsurvey,,73,Answers,secengsurvey/sheets/Answers,fea08c84-0d8e-43d7-bae8-ef4a9bdfa9a7,yuta1985,Yuta Sakai,,1,[],2025/08/29 17:32:34
5,True,True,False,True,False,True,True,False,16155560,775932,1739016161450,1739157566683,1739016161459,1739157569078,2647311,2025/2/7に開催されたTableau東北ユーザー会のワークショップにて作成した商店街の通行人数ダッシュボードです。商店街に店舗を持つ方がシフトやイベント開催時期の検討に活用するダッシュボードです。,b08acef3-8101-4120-9471-67ea992e6e5d,,1.1,東北ユーザー会：商店街の通行人数ダッシュボード,_17390161614520,,235,人流ダッシュボード,_17390161614520/sheets/sheet0,68a4cbf0-896f-476f-b156-9e79bdf8ba63,yuta1985,Yuta Sakai,,3,[],2025/08/29 17:32:34
6,True,True,False,True,False,True,True,False,15715007,775932,1732235699733,1732235801902,1732235699740,1744249306700,73588,Tableau曲線表現講座の作成物,6c558587-bf1e-4dd6-ba6c-68c4cb97d81a,,1.1,Tableau曲線表現講座の作成物,Tableau_17322356997350,,1567,作成物一覧,Tableau_17322356997350/sheets/sheet0,dc1315e7-c5c7-4e22-b1d0-9a1b87e98e12,yuta1985,Yuta Sakai,,73,[],2025/08/29 17:32:34
7,True,True,False,True,False,True,True,False,15164586,775932,1723263019269,1723263482220,1723263019278,1723263483038,54661,睡眠時間と起床就寝時間の関係,a79b9a8a-c5bc-445d-9bc9-6db23d106972,,1.1,睡眠時間と起床就寝時間の関係,_17232630192720,,279,Sleep,_17232630192720/sheets/Sleep,396c5ce5-2581-478f-9184-bf33f4f1d8d4,yuta1985,Yuta Sakai,,2,[],2025/08/29 17:32:34
8,True,True,False,True,False,True,True,False,15051912,775932,1721199349309,1721203249270,1721199349319,1721203250458,197485,IPA受験情報,b598d2a2-b95f-455f-a9ee-5ea4e52de86f,,1.3,IPA受験情報,IPA_17211993493120,,206,IPA受験者数情報,IPA_17211993493120/sheets/1,bbc01750-6feb-444e-a5ac-456bb592af8b,yuta1985,Yuta Sakai,,0,[],2025/08/29 17:32:34
9,True,True,False,True,False,True,True,False,15008306,775932,1720453785322,1720505504138,1720453785330,1721136390452,24843,東京都都知事選挙投票率の推移 ,7f2d427e-0122-489d-839a-531ea52a7004,,1.3,東京都都知事選挙投票率の推移,_17204537853240,,146,投票率の推移,_17204537853240/sheets/sheet3,dabfb59a-6254-4c6f-8a11-99e1d276ebce,yuta1985,Yuta Sakai,,0,[],2025/08/29 17:32:34
10,True,True,False,True,False,True,True,False,14825075,775932,1717311265561,1717311467888,1717311265565,1717311468660,366750,WoW2024week22: Can You Make a Page Navigator?,284c6430-4894-4d4c-b1de-734ed73b1a9b,,1.1,WoW2024week22: Can You Make a Page Navigator?,WoW2024week22CanYouMakeaPageNavigator,,144,Dashboard,WoW2024week22CanYouMakeaPageNavigator/sheets/Dashboard,6862bdc3-81ff-4ef4-9f4e-b336fecec11b,yuta1985,Yuta Sakai,,4,"[{'authorDisplayName': 'Yoshitaka Arakawa', 'authorProfileName': 'yoshitaka6076', 'attributionUrl': 'https://public.tableau.com/app/profile/yoshitaka6076/viz/WOW2024W22CanYouMakeaPageNavigator/SyncedTableBonus', 'workbookName': '#WOW2024 W22: Can You Make a Page Navigator?', 'workbookRepoUrl': 'WOW2024W22CanYouMakeaPageNavigator', 'workbookViewName': 'SyncedTableBonus'}]",2025/08/29 17:32:34
11,True,True,False,True,False,True,True,False,14712752,775932,1715641898019,1715669008742,1715641898027,1715669963401,183369,伊勢神宮,022c9348-4532-4ab5-ad41-649b2bcca2df,,1.1,伊勢神宮(Ise Jingu/Ise Shrine),_17156418980210,,343,IseShrine,_17156418980210/sheets/IseShrine,be0d66b3-cdc8-40dd-9663-cb30cb7f6799,yuta1985,Yuta Sakai,,4,"[{'authorDisplayName': 'Dennis Kao', 'authorProfileName': 'dennis.kao', 'attributionUrl': 'https://public.tableau.com/app/profile/dennis.kao/viz/KyotosCherryBlossomsMap/Map', 'workbookName': 'Kyoto Cherry Blossom Map', 'workbookRepoUrl': 'KyotosCherryBlossomsMap', 'workbookViewName': 'Map'}]",2025/08/29 17:32:34
12,True,True,False,True,False,True,True,False,14494940,775932,1713097878725,1713097878725,1713097878733,1721175631803,27701,桜の開花日は北は早く南は遅くなっている？ ,668f1dc6-9046-4860-b187-d58e0c0912b6,,1.0,桜の開花日は北は早く南は遅くなっている？,_17130978787270,,397,Dashboard,_17130978787270/sheets/Dashboard,2bb07edf-10ee-4408-aeeb-b8145f9029a9,yuta1985,Yuta Sakai,,3,[],2025/08/29 17:32:34
13,True,True,False,True,False,True,True,False,14370233,775932,1711631025856,1711631025856,1711631025862,1711631026950,353021,WoW2024week13: Can you build this segmented bar chart?,b32e0fb2-1582-4021-a761-df08b8f4226a,,1.0,WoW2024week13: Can you build this segmented bar chart?,WoW2024week13Canyoubuildthissegmentedbarchart,,103,Dashboard,WoW2024week13Canyoubuildthissegmentedbarchart/sheets/Dashboard,933c7f08-efd4-4406-b912-f3872ddad8b9,yuta1985,Yuta Sakai,,0,[],2025/08/29 17:32:34
14,True,True,False,True,False,True,True,False,14336814,775932,1711293999754,1711293999754,1711293999758,1711294044000,347424,#VizTS x  #ほくたぶ x #1シート教,95039e45-7b46-4c7c-a60a-42d26ec1a7cc,,1.0,#VizTS x #ほくたぶ x  #1シート教,VizTSxx1,,116,Dashboard,VizTSxx1/sheets/Dashboard,d2b76a7a-ea10-4611-b6f3-e6b6093a4c1d,yuta1985,Yuta Sakai,,1,[],2025/08/29 17:32:34
15,True,True,False,True,False,True,True,False,14258517,775932,1710419055778,1710419124465,1710419055783,1710498571468,316809,WoW2024week11,069e995f-001d-4b98-ba09-3822a973cf40,,1.1,WoW2024week11,WoW2024week11,,75,Dashbaord,WoW2024week11/sheets/Dashbaord,eeb02131-24ac-4d9b-a04b-e282915659e2,yuta1985,Yuta Sakai,,3,"[{'authorDisplayName': 'Erica Hughes', 'authorProfileName': 'erica.hughes', 'attributionUrl': 'https://public.tableau.com/app/profile/erica.hughes/viz/WOW2024Week11/Dashboard1', 'workbookName': '#WOW2024 Week 11', 'workbookRepoUrl': 'WOW2024Week11', 'workbookViewName': 'Dashboard1'}]",2025/08/29 17:32:34
