,showInProfile,allowDataAccess,showByline,showShareOptions,showTabs,showToolbar,showWatermark,warnDataAccess,id,ownerId,firstPublishDate,lastPublishDate,createdAt,lastUpdateDate,size,description,luid,permalink,revision,title,workbookRepoUrl,extractInfo,viewCount,defaultViewName,defaultViewRepoUrl,defaultViewLuid,authorProfileName,authorDisplayName,externalLink,numberOfFavorites,attributions,error.message,error.id,getDate
0,True,True,False,True,False,True,True,False,14895581.0,775932.0,1718366006079.0,1718367552959.0,1718366006086.0,1718367554885.0,4106637.0,PM2.5による影響と対策 | Japan #VizGames Final 2024,08a6cbc9-19ab-4b66-bfb7-3aef356535c6,,1.6,PM2.5による影響と対策 | Japan #VizGames Final 2024,PM2_5JapanVizGamesFinal2024,,1497.0,PM2.5 Story,PM2_5JapanVizGamesFinal2024/sheets/PM2_5Story,14cfaa6e-b6da-4d56-a251-613d96d766c7,yuta1985,Yuta Sakai,,52.0,[],,,2025/10/13 10:59:26
1,True,True,False,True,False,True,True,False,17469297.0,775932.0,1756911125150.0,1757256564065.0,1756911125157.0,1757256565876.0,169842.0,"VizGames2025の予選応募作品として作成。
#VizGames
#VizGames2025",966faba3-b251-4b62-ae37-557cbc6e499e,,2.4,日本人の心のふるさと「伊勢神宮の魅力」,TheCharmofIseJingu,,755.0,1.表紙,TheCharmofIseJingu/sheets/1_,42ece586-880a-4f39-ad3f-6dd8564e60f1,yuta1985,Yuta Sakai,,3.0,[],,,2025/10/13 10:59:26
2,True,True,False,True,False,True,True,False,16824898.0,775932.0,1745419963420.0,1745420020573.0,1745419963425.0,1745420021266.0,36328.0,WoW2025week17:Can you switch measures?,eda83998-78e3-407a-b0aa-93dbb35d79f9,,1.1,WoW2025week17:Can you switch measures?,WoW2025week17Canyouswitchmeasures,,37.0,Dashboard,WoW2025week17Canyouswitchmeasures/sheets/Dashboard,99e6fe38-1bda-440a-928b-44e718e93e0e,yuta1985,Yuta Sakai,,0.0,[],,,2025/10/13 10:59:26
3,True,True,False,True,False,True,True,False,16791184.0,775932.0,1744955568128.0,1744981864835.0,1744955568133.0,1744981866577.0,22571.0,MOM2025week16: Pet Owner Ship Internationaly,21e155ee-8591-4d5f-a7e7-f371e8f57c6e,,1.3,MOM2025week16: Pet Owner Ship Internationaly,MOM2025week16PetOwnerShipInternationaly,,50.0,Dashboard,MOM2025week16PetOwnerShipInternationaly/sheets/Dashboard,3fdbde9c-959d-49b3-8ff6-1b6d62ac0e0b,yuta1985,Yuta Sakai,,1.0,[],,,2025/10/13 10:59:26
4,True,True,False,True,False,True,True,False,16786862.0,775932.0,1744905696302.0,1744955488501.0,1744905696308.0,1744955490208.0,428210.0,#WOW2025,5da5a450-f84d-4b25-a1e3-3e67e141c7f8,,1.2,WoW2025week16: Can you use COntainers and Dynamic Zone Visibility?,WOW2025Week16TC25,,59.0,ダッシュボード 1,WOW2025Week16TC25/sheets/1,ac4fe147-9cc6-46e6-a50e-6b984383e5e7,yuta1985,Yuta Sakai,,0.0,[],,,2025/10/13 10:59:26
5,True,False,False,True,True,True,True,False,16473815.0,775932.0,1741264248590.0,1741264248590.0,1741264248596.0,1741264249989.0,54787.0,secengsurvey,3dda9c06-eb98-4bb8-8d64-f39b4c2a5e29,,1.0,secengsurvey,secengsurvey,,86.0,Answers,secengsurvey/sheets/Answers,fea08c84-0d8e-43d7-bae8-ef4a9bdfa9a7,yuta1985,Yuta Sakai,,1.0,[],,,2025/10/13 10:59:26
6,True,True,False,True,False,True,True,False,16155560.0,775932.0,1739016161450.0,1739157566683.0,1739016161459.0,1739157569078.0,2647311.0,2025/2/7に開催されたTableau東北ユーザー会のワークショップにて作成した商店街の通行人数ダッシュボードです。商店街に店舗を持つ方がシフトやイベント開催時期の検討に活用するダッシュボードです。,b08acef3-8101-4120-9471-67ea992e6e5d,,1.1,東北ユーザー会：商店街の通行人数ダッシュボード,_17390161614520,,287.0,人流ダッシュボード,_17390161614520/sheets/sheet0,68a4cbf0-896f-476f-b156-9e79bdf8ba63,yuta1985,Yuta Sakai,,3.0,[],,,2025/10/13 10:59:26
7,True,True,False,True,False,True,True,False,15715007.0,775932.0,1732235699733.0,1732235801902.0,1732235699740.0,1744249306700.0,73588.0,Tableau曲線表現講座の作成物,6c558587-bf1e-4dd6-ba6c-68c4cb97d81a,,1.1,Tableau曲線表現講座の作成物,Tableau_17322356997350,,1634.0,作成物一覧,Tableau_17322356997350/sheets/sheet0,dc1315e7-c5c7-4e22-b1d0-9a1b87e98e12,yuta1985,Yuta Sakai,,73.0,[],,,2025/10/13 10:59:26
8,True,True,False,True,False,True,True,False,15164586.0,775932.0,1723263019269.0,1723263482220.0,1723263019278.0,1723263483038.0,54661.0,睡眠時間と起床就寝時間の関係,a79b9a8a-c5bc-445d-9bc9-6db23d106972,,1.1,睡眠時間と起床就寝時間の関係,_17232630192720,,313.0,Sleep,_17232630192720/sheets/Sleep,396c5ce5-2581-478f-9184-bf33f4f1d8d4,yuta1985,Yuta Sakai,,2.0,[],,,2025/10/13 10:59:26
9,True,True,False,True,False,True,True,False,15051912.0,775932.0,1721199349309.0,1721203249270.0,1721199349319.0,1721203250458.0,197485.0,IPA受験情報,b598d2a2-b95f-455f-a9ee-5ea4e52de86f,,1.3,IPA受験情報,IPA_17211993493120,,214.0,IPA受験者数情報,IPA_17211993493120/sheets/1,bbc01750-6feb-444e-a5ac-456bb592af8b,yuta1985,Yuta Sakai,,0.0,[],,,2025/10/13 10:59:26
